Month,Energy Consumption (kWh),Energy Cost ($),Carbon Emissions (tCO2),Energy charges,Fixed network charges,Variable network charges,Other fees,Taxes
Jan 2023,6773,777.5,52.0,461.29823999999996,70.96896,49.678272,56.775167999999994,70.96896
Feb 2023,4429,532.52,33.82,330.3518399999999,50.823359999999994,35.576352,40.65868799999999,50.823359999999994
Mar 2023,7728,793.66,57.28,472.8422400000001,72.74496000000002,50.921472000000016,58.195968000000015,72.74496000000002
Apr 2023,4923,713.31,45.52,190.81296,29.35584,20.549088,23.484672,29.35584
May 2023,5518,648.03,55.14,236.16528,36.33312,25.433184,29.066495999999997,36.33312
Jun 2023,4636,584.46,34.25,161.52864000000002,24.85056,17.395392,19.880448,24.85056
Jul 2023,7689,870.54,48.99,466.02816,71.69664,50.187648,57.357312,71.69664
Aug 2023,4711,527.96,25.33,301.86,46.440000000000005,32.508,37.152,46.440000000000005
Sep 2023,6071,876.84,47.06,504.8159999999999,77.66399999999999,54.364799999999995,62.13119999999999,77.66399999999999
Oct 2023,5987,810.69,47.56,438.49104,67.46016,47.222112,53.968128,67.46016
Nov 2023,5400,656.57,34.42,373.8820800000001,57.52032000000002,40.26422400000001,46.01625600000001,57.52032000000002
Dec 2023,7829,1053.28,46.47,617.90352,95.06208,66.543456,76.04966399999999,95.06208
Jan 2024,4332,487.56,21.88,276.83135999999996,42.589439999999996,29.812608,34.071552,42.589439999999996
Feb 2024,6973,722.27,57.33,278.37264,42.82656,29.978592,34.261247999999995,42.82656
Mar 2024,4927,557.88,27.57,247.54704000000004,38.084160000000004,26.658912000000004,30.467328000000002,38.084160000000004
Apr 2024,7545,928.58,56.12,277.08096,42.62784,29.839488000000003,34.102272,42.62784
May 2024,7980,1153.32,75.27,599.25216,92.19264000000001,64.53484800000001,73.754112,92.19264000000001
Jun 2024,7039,996.92,38.33,591.4771199999999,90.99647999999999,63.69753599999999,72.79718399999999,90.99647999999999
Jul 2024,5539,625.23,34.01,132.52512000000002,20.38848,14.271936000000002,16.310784,20.38848
Aug 2024,6363,932.4,35.54,377.8944,58.1376,40.69632,46.51008,58.1376
Sep 2024,5632,618.98,52.29,261.02544,40.15776,28.110432000000003,32.126208000000005,40.15776
Oct 2024,5299,680.7,26.54,223.9848,34.4592,24.12144,27.56736,34.4592
Nov 2024,5647,568.2,52.07,214.3752,32.9808,23.086560000000002,26.38464,32.9808
Dec 2024,4409,534.25,22.12,314.00928000000005,48.30912000000001,33.816384000000006,38.647296000000004,48.30912000000001
Jan 2025,7317,806.27,67.79,189.12192,29.09568,20.366976,23.276543999999998,29.09568
Feb 2025,7711,969.22,67.54,442.93392,68.14368,47.700576,54.514944,68.14368
Mar 2025,4005,523.79,35.6,320.79216,49.35264000000001,34.546848000000004,39.482112,49.35264000000001
Apr 2025,6678,755.46,52.24,467.73792000000003,71.95968,50.371776000000004,57.567744000000005,71.95968
May 2025,7299,1028.9,36.64,363.13055999999995,55.86624,39.106367999999996,44.692992,55.86624
Jun 2025,6699,935.49,66.49,324.88560000000007,49.98240000000001,34.98768000000001,39.985920000000014,49.98240000000001
Jul 2025,6444,935.11,45.18,565.45632,86.99328000000001,60.89529600000001,69.59462400000001,86.99328000000001
Aug 2025,5745,634.98,40.7,369.5952,56.8608,39.80256,45.48864,56.8608
Sep 2025,5616,606.81,33.93,339.31872,52.20287999999999,36.542016,41.76230399999999,52.20287999999999
Oct 2025,4288,440.08,42.08,239.41007999999997,36.832319999999996,25.782624,29.465855999999995,36.832319999999996
Nov 2025,7423,766.51,66.82,409.39391999999987,62.983679999999985,44.08857599999999,50.386943999999986,62.983679999999985
Dec 2025,7288,1080.51,67.79,506.77536000000003,77.96544,54.57580800000001,62.372352,77.96544
